City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
167,Hamilton,US,2022-01-25 15:08:45,39.1834,-84.5333,26.11,76,0,1.99
168,Liverpool,GB,2022-01-25 15:05:29,53.4106,-2.9779,41.77,86,100,1.01
169,Aripuana,BR,2022-01-25 15:08:46,-9.1667,-60.6333,85.68,66,83,4.38
170,Halvad,IN,2022-01-25 15:06:17,23.0167,71.1833,63.39,36,0,7.99
171,Itupiranga,BR,2022-01-25 15:08:46,-5.1347,-49.3267,86.32,74,100,4.38
172,Mana,GF,2022-01-25 15:08:47,5.6592,-53.7767,79.61,80,21,10.2
173,Bitung,ID,2022-01-25 15:08:47,1.4451,125.1824,77.85,80,61,2.04
174,Tukrah,LY,2022-01-25 15:08:47,32.5341,20.5791,48.4,60,92,11.1
175,Belluno,IT,2022-01-25 15:08:47,46.145,12.2214,45.19,62,4,1.01
176,San Luis,AR,2022-01-25 15:08:48,-33.295,-66.3356,83.01,56,29,3.76
177,Lloydminster,CA,2022-01-25 15:05:13,53.2835,-110.0016,-1.12,97,95,12.24
178,Labuan,MY,2022-01-25 15:08:48,5.2767,115.2417,78.96,83,100,7.05
179,Santa Rosa,PH,2022-01-25 15:08:48,14.3122,121.1114,81.09,66,96,10.49
180,Kurchum,KZ,2022-01-25 15:08:49,48.5722,83.6542,-14.94,97,64,2.57
181,The Valley,AI,2022-01-25 15:08:49,18.217,-63.0578,82.09,73,75,13.8
182,Camacari,BR,2022-01-25 15:08:49,-12.6975,-38.3242,87.57,63,100,5.28
183,Sept-Iles,CA,2022-01-25 15:08:50,50.2001,-66.3821,4.05,79,100,1.99
184,Hambantota,LK,2022-01-25 15:08:50,6.1241,81.1185,77.34,88,40,2.3
185,Margate,GB,2022-01-25 15:09:50,51.3813,1.3862,39.69,83,89,4.0
186,Meulaboh,ID,2022-01-25 15:09:50,4.1363,96.1285,78.6,83,78,3.29
187,Havre-Saint-Pierre,CA,2022-01-25 15:09:51,50.2334,-63.5986,-1.84,78,100,8.05
188,Vila Franca Do Campo,PT,2022-01-25 15:09:51,37.7167,-25.4333,64.2,71,63,5.12
189,Kaspiysk,RU,2022-01-25 15:09:51,42.8816,47.6392,35.78,74,75,15.99
190,Tevaitoa,PF,2022-01-25 15:09:52,-16.7833,-151.5,80.15,78,100,12.5
191,Taltal,CL,2022-01-25 15:09:52,-25.4,-70.4833,68.61,70,4,4.27
192,Redlands,US,2022-01-25 15:07:18,34.0556,-117.1825,59.43,47,40,4.61
193,Kavaratti,IN,2022-01-25 15:09:52,10.5669,72.642,78.46,55,39,7.4
194,Yumen,CN,2022-01-25 15:09:53,40.2833,97.2,19.29,39,0,1.83
195,Hasaki,JP,2022-01-25 15:09:53,35.7333,140.8333,39.6,88,100,10.16
196,Deputatskiy,RU,2022-01-25 15:09:53,69.3,139.9,-24.56,97,99,5.23
197,Nabire,ID,2022-01-25 15:09:54,-3.3667,135.4833,78.37,90,99,2.8
